# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 2.97030 0.00000 -0.00000 -0.00000 0.57448 0.00000 -7.7335e-17 1.3580e-18 4.0000e-01 -1.1858e-20 1.3367e-21 1.1372e-04 0.00020 0.00025 0.00028 -0.00000 0.00000 0.00000 2.27432e-05 7.26638e-31 -1.9540081644e-04 -1.7265756724e-04 7.5789098037e-33 
10.002 -1.10451 2.72013 -0.00011 -0.53790 -0.22201 -0.00011 -2.9449e-03 -1.0990e-04 3.3837e-01 -6.3042e-07 1.5611e-07 9.5977e-05 0.00021 0.00024 0.00028 -0.00002 0.00000 -0.00000 1.62389e-05 8.55647e-04 -1.9565050402e-04 6.7623505454e-04 2.7925619915e-07 
20.000 -2.02972 -2.11666 -0.00095 0.41847 -0.40483 -0.00001 -3.2590e-03 3.4136e-03 3.9805e-01 -6.4112e-07 9.6831e-07 1.1300e-04 0.00024 0.00021 0.00028 -0.00002 0.00000 0.00000 2.24916e-05 8.51473e-04 -1.9561489035e-04 6.7834965921e-04 7.2562292468e-10 
30.000 2.76499 -1.05661 -0.00008 0.20916 0.53838 0.00019 2.1926e-03 6.1366e-03 3.4474e-01 6.8483e-07 1.0408e-06 9.7784e-05 0.00025 0.00020 0.00028 -0.00000 -0.00000 0.00000 1.68589e-05 8.50969e-04 -1.9564895199e-04 6.7217933767e-04 2.9674536264e-10 
40.002 -0.03588 2.94865 -0.00009 -0.57945 -0.01164 -0.00008 5.1309e-03 6.6021e-04 3.7843e-01 1.1510e-06 -1.1478e-07 1.0739e-04 0.00023 0.00022 0.00028 0.00003 -0.00000 -0.00000 2.03230e-05 8.50908e-04 -1.9562560537e-04 6.7560529850e-04 4.6534072392e-10 
50.002 -2.65718 -1.22369 -0.00086 0.24239 -0.53183 0.00002 2.9538e-03 -6.2454e-03 3.5532e-01 -4.0874e-08 -1.1722e-06 1.0079e-04 0.00021 0.00023 0.00028 0.00002 0.00000 -0.00000 1.79095e-05 8.50886e-04 -1.9564244373e-04 6.7315310496e-04 3.4628711376e-10 
60.002 2.18962 -1.98773 -0.00048 0.38957 0.42697 0.00003 -5.1922e-03 -2.7832e-03 3.6963e-01 -1.3230e-06 -2.4915e-07 1.0487e-04 0.00020 0.00025 0.00028 -0.00001 0.00000 -0.00000 1.93862e-05 8.50845e-04 -1.9563160926e-04 6.7459977806e-04 4.3257132925e-10 
70.002 1.02899 2.76939 0.00024 -0.54306 0.19912 -0.00010 -6.7825e-03 3.3219e-03 3.7712e-01 -9.5059e-07 1.2791e-06 1.0700e-04 0.00021 0.00024 0.00028 -0.00002 0.00000 0.00000 2.01810e-05 8.50885e-04 -1.9563126372e-04 6.7543521544e-04 4.6197184662e-10 
80.000 -2.91983 -0.14995 -0.00093 0.03169 -0.58378 -0.00021 1.5468e-03 6.0048e-03 3.4819e-01 6.8641e-07 1.2019e-06 9.8766e-05 0.00024 0.00020 0.00028 -0.00002 0.00000 0.00000 1.71989e-05 8.51004e-04 -1.9564347491e-04 6.7255918270e-04 3.5128419878e-10 
90.000 1.33011 -2.63840 -0.00026 0.51805 0.25636 0.00008 5.5321e-03 2.4440e-03 3.8412e-01 1.3385e-06 -1.3729e-07 1.0900e-04 0.00025 0.00020 0.00028 -0.00000 -0.00000 -0.00000 2.09385e-05 8.51074e-04 -1.9562579667e-04 6.7638675507e-04 4.5532138763e-10 
100.000 1.97125 2.20581 0.00018 -0.43302 0.38225 -0.00009 2.5883e-03 -3.5995e-03 3.4108e-01 2.6299e-07 -8.7850e-07 9.6742e-05 0.00023 0.00021 0.00028 0.00003 -0.00000 -0.00000 1.65004e-05 8.51150e-04 -1.9564848263e-04 6.7200159343e-04 3.1380796244e-10 
110.000 -2.77623 0.93693 -0.00053 -0.18483 -0.55238 -0.00006 -8.6111e-04 -3.0373e-03 4.0222e-01 -6.0735e-07 -3.9569e-07 1.1418e-04 0.00021 0.00024 0.00028 0.00002 0.00000 -0.00000 2.29637e-05 8.51192e-04 -1.9561323689e-04 6.7854291644e-04 5.3906032967e-10 
120.000 0.27991 -2.92595 -0.00059 0.57911 0.05075 0.00015 -1.4475e-03 3.2701e-04 3.3648e-01 -1.1589e-07 2.3442e-07 9.5438e-05 0.00020 0.00025 0.00028 -0.00000 0.00000 0.00000 1.60567e-05 8.51151e-04 -1.9565091714e-04 6.7155640585e-04 2.7707733945e-10 
